<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.01.03	00:00:00	11044.00	11093.00	10758.00	10854.00	89477	0	0
2023.01.04	00:00:00	10837.00	10980.00	10777.00	10896.00	78259	0	0
2023.01.05	00:00:00	10909.00	10959.00	10718.00	10750.00	77770	0	0
2023.01.06	00:00:00	10754.00	11080.00	10667.00	11024.00	77470	0	0
2023.01.09	00:00:00	11043.00	11302.00	11038.00	11101.00	71333	0	0
2023.01.10	00:00:00	11105.00	11207.00	11013.00	11200.00	71056	0	0
2023.01.11	00:00:00	11201.00	11398.00	11159.00	11394.00	61902	0	0
2023.01.12	00:00:00	11394.00	11498.00	11214.00	11441.00	79876	0	0
2023.01.13	00:00:00	11445.00	11539.00	11309.00	11521.00	69319	0	0
2023.01.16	00:00:00	11535.00	11562.00	11436.00	11488.00	24662	0	0
2023.01.17	00:00:00	11498.00	11611.00	11457.00	11549.00	60382	0	0
2023.01.18	00:00:00	11542.00	11686.00	11396.00	11410.00	68736	0	0
2023.01.19	00:00:00	11401.00	11417.00	11239.00	11323.00	72014	0	0
2023.01.20	00:00:00	11334.00	11617.00	11298.00	11609.00	59412	0	0
2023.01.23	00:00:00	11616.00	11918.00	11586.00	11870.00	61253	0	0
2023.01.24	00:00:00	11870.00	11944.00	11771.00	11906.00	60623	0	0
2023.01.25	00:00:00	11910.00	11911.00	11541.00	11812.00	69042	0	0
2023.01.26	00:00:00	11809.00	12051.00	11806.00	11997.00	71374	0	0
2023.01.27	00:00:00	11985.00	12245.00	11954.00	12159.00	63543	0	0
2023.01.30	00:00:00	12146.00	12193.00	11902.00	11930.00	74073	0	0
2023.01.31	00:00:00	11932.00	12100.00	11816.00	12064.00	71401	0	0
2023.02.01	00:00:00	12061.00	12467.00	12002.00	12450.00	72243	0	0
2023.02.02	00:00:00	12472.00	12893.00	12446.00	12618.00	92005	0	0
2023.02.03	00:00:00	12683.00	12822.00	12495.00	12559.00	91241	0	0
2023.02.06	00:00:00	12521.00	12557.00	12407.00	12461.00	76942	0	0
2023.02.07	00:00:00	12467.00	12769.00	12411.00	12691.00	81634	0	0
2023.02.08	00:00:00	12703.00	12759.00	12465.00	12509.00	75979	0	0
2023.02.09	00:00:00	12505.00	12680.00	12320.00	12402.00	78406	0	0
2023.02.10	00:00:00	12390.00	12403.00	12196.00	12293.00	84338	0	0
2023.02.13	00:00:00	12312.00	12524.00	12223.00	12502.00	63401	0	0
2023.02.14	00:00:00	12501.00	12641.00	12348.00	12576.00	87730	0	0
2023.02.15	00:00:00	12574.00	12711.00	12480.00	12703.00	71487	0	0
2023.02.16	00:00:00	12695.00	12748.00	12411.00	12421.00	74382	0	0
2023.02.17	00:00:00	12418.00	12418.00	12224.00	12342.00	72897	0	0
2023.02.20	00:00:00	12335.00	12381.00	12310.00	12330.00	21857	0	0
2023.02.21	00:00:00	12329.00	12344.00	12057.00	12076.00	70930	0	0
2023.02.22	00:00:00	12078.00	12158.00	12002.00	12133.00	77073	0	0
